거래일,종목명,거래수량,환율,거래금액,수수료,유가잔고,잔액,상대계좌,
거래종류,잔고번호,거래단가,외환잔액,정산금액,거래세,세금,부가세,접속매체,
2024.4.12,KBSTAR 미국30년국채엔화노출(합성 H),20,0,"177,800",7,0,"885,048",,
Smart+거래소주식매도,,"8,890",0,"177,793",0,0,0,스마트폰,
2024.4.15,KODEX 200TR,1,0,"12,695",0,1,"872,353",,
Smart+거래소주식매수,,"12,695",0,"12,695",0,0,0,스마트폰,
2024.4.15,ACE 미국S&P500,4,0,"71,130",2,16,"801,221",,
Smart+거래소주식매수,,"17,782",0,"71,132",0,0,0,스마트폰,
2024.4.15,ACE 미국배당다우존스,2,0,"23,090",0,2,"778,131",,
Smart+거래소주식매수,,"11,545",0,"23,090",0,0,0,스마트폰,
2024.4.15,KBSTAR 미국30년국채엔화노출(합성 H),10,0,"87,450",3,10,"690,678",,
Smart+거래소주식매수,,"8,745",0,"87,453",0,0,0,스마트폰,
2024.4.15,ACE KRX금현물,1,0,"14,870",0,76,"705,548",,
Smart+거래소주식매도,,"14,870",0,"14,870",0,0,0,스마트폰,
2024.4.15,KODEX KOFR금리액티브(합성),5,0,"532,050",22,30,"1,237,576",,
Smart+거래소주식매도,,"106,410",0,"532,028",0,0,0,스마트폰,
2024.4.17,KODEX 200TR,10,0,"126,200",5,11,"1,111,371",,
Smart+거래소주식매수,,"12,620",0,"126,205",0,0,0,스마트폰,
2024.4.17,ACE 미국배당다우존스,30,0,"345,550",14,32,"765,807",,
Smart+거래소주식매수,,"11,518",0,"345,564",0,0,0,스마트폰,
2024.4.17,ACE KRX금현물,35,0,"552,475",23,41,"1,318,259",,
Smart+거래소주식매도,,"15,785",0,"552,452",0,0,0,스마트폰,
2024.4.17,TIGER 미국달러SOFR금리액티브(합성),15,0,"812,475",34,24,"2,130,700",,
Smart+거래소주식매도,,"54,165",0,"812,441",0,0,0,스마트폰,
2024.4.18,KODEX 200TR,30,0,"375,500",15,41,"1,755,185",,
